fieldname,assettype,label,description
ASL_FDR,Advanced Stop Line,Feeder Lane,"True = Feeder lane present
False = No feeder lane present (may be gate)"
ASL_FDRLFT,Advanced Stop Line,Feeder Lane on Left,"True = Feeder lane is aligned left next to kerb
False = Feeder lane is not aligned left next to kerb"
ASL_FDCENT,Advanced Stop Line,Feeder Lane in Centre,"True = Feeder lane is in the centre of the Advanced Stop Line
False = Feeder lane is not in the centre of the Advanced Stop Line"
ASL_FDRIGH,Advanced Stop Line,Feeder Lane on Right,"True = Feeder lane is aligned to far side of lane
False = Feeder lane is not aligned to far side of lane"
ASL_SHARED,Advanced Stop Line,Shared Nearside Lane,"True = Shared nearside lane
False = Not a shared nearside lane"
ASL_COLOUR,Advanced Stop Line,Colour,"Colour of advanced stop line - Limited to only the following entries: None, Green, Red, Blue, Buff/Yellow, Other"
CRS_SIGNAL,Crossing,Signal-Controlled Crossing,"True = Controlled
False = Uncontrolled (e.g. zebra)"
CRS_SEGREG,Crossing,Segregated Cycles and Pedestrians,"True = Cyclists segregated
False = Shared with other users (e.g. pedestrians or horses)"
CRS_CYGAP,Crossing,Cycle Gap,"True = Crossing includes gap in island or kerb allowing cyclists only (NOT a refuge)
False = Crossing does not include gap in island or kerb"
CRS_PEDEST,Crossing,Pedestrian-Only Crossing,"True = Cyclists must dismount to use
False = Not a pedestrian-only crossing"
CRS_LEVEL,Crossing,Level Crossing,"True = Crossing or rail/tram tracks on cycle lane/track
False = Not a level crossing"
CLT_CARR,Cycle Lane/Track,On-Carriageway (if true) or Off-Carriageway (if false),"True = On-carriageway
False = Off-carriageway"
CLT_SEGREG,Cycle Lane/Track,Segregated Lane/Track,"True = Fully segregated lane (i.e. On carriageway) / track (i.e. Off carriageway)
False = Not fully segregated"
CLT_STEPP,Cycle Lane/Track,Stepped Lane/Track,"True = Stepped lane/track
False = Not a stepped lane/track"
CLT_PARSEG,Cycle Lane/Track,Partially Segregated Lane/Track,"True = Partially or light segregated lane/track
False = Not a partially or light segregated lane/track"
CLT_SHARED,Cycle Lane/Track,Shared Lane or Footway,"True = Shared lane (eg bus lane)
False = Shared footway or track"
CLT_MANDAT,Cycle Lane/Track,Mandatory Cycle Lane,"True = Mandatory lane
False = Not a mandatory lane"
